"categoria","data","lancamento","valor","dt_competencia"
Vestimenta,2023-04-23,CHICO REI*CHICO R,49.39,2025-03-06
Restaurante,2023-04-23,MARKET4U*COMPRA*132689,5.49,2025-03-06
Restaurante,2023-04-23,MARKET4U*COMPRA*132642,3.97,2025-03-06
Alimentação,2023-04-23,CORNERSHOP,0.54,2025-03-06
Alimentação,2023-04-23,CORNERSHOP,122.84,2025-03-06
Produtos Saúde,2023-03-23,DRA CLAUDIA PRECIOSO,341.6,2025-03-06
Utilidade Casa,2023-04-22,PAG*NOSSAPIZZA,32.0,2025-03-06
Outros,2023-04-22,UBER * PENDING,49.99,2025-03-06
Restaurante,2023-04-22,BRASS BREW,52.0,2025-03-06
Restaurante,2023-04-22,OUTBACK BOURBOUN,63.3,2025-03-06
Restaurante,2023-04-20,IFOOD  *IFD*PATTIES V,76.55,2025-03-06
Alimentação,2023-04-19,CORNERSHOP,108.69,2025-03-06
Alimentação,2023-04-19,CORNERSHOP,28.21,2025-03-06
Produtos Saúde,2023-04-19,DROGARIA ONLINE,56.98,2025-03-06
Estacionamento,2023-04-19,HOSP S CAMILO IPIRANGA,34.0,2025-03-06
Ferramentas,2023-02-19,EBW*SHOPEE,31.21,2025-03-06
Alimentação,2023-04-17,CORNERSHOP,19.88,2025-03-06
Utilidade Casa,2023-04-17,SHOPEE*820961088154233,32.0,2025-03-06
Alimentação,2023-04-17,CORNERSHOP,130.58,2025-03-06
Utilidade Casa,2023-04-16,AMAZON.COM.BR,12.6,2025-03-06
Produtos Saúde,2023-04-16,DROGARIA SAO PAULO 002,84.11,2025-03-06
Restaurante,2023-04-15,IFOOD  *IFD*VIENA EXP,29.85,2025-03-06
Vestimenta,2023-04-14,PARC=102DL*SHEINBR,33.15,2025-03-06
Restaurante,2023-04-14,IFOOD  *IFD*SCALA PIZ,85.79,2025-03-06
Utilidade Casa,2023-03-14,MERCADOLIVRE*ABCSUPORT,33.72,2025-03-06
Alimentação,2023-04-13,CORNERSHOP,112.82,2025-03-06
Produtos Saúde,2023-04-13,DROGARIA ONLINE,69.36,2025-03-06
Planos,2023-03-12,AZUL WE*WDVIQLBRITO,316.14,2025-03-06
Planos,2023-03-12,AZUL WE*HCU6VLBRITO,311.8,2025-03-06
Eletrônico,2023-03-12,AMAZON BR,114.99,2025-03-06
Produtos Saúde,2023-02-12,NATUS OTICA II,159.83,2025-03-06
Pet,2023-04-11,COBASI SAO CAETANO DO,91.64,2025-03-06
Utilidade Casa,2023-03-11,ZELO PLAZA SUL,28.31,2025-03-06
Viagem,2023-04-10,FARMA PORTO,12.71,2025-03-06
Viagem,2023-04-10,MERCADINHO GAUCHO,13.29,2025-03-06
Viagem,2023-04-10,UBER   *UBER   *TRIP,130.48,2025-03-06
Viagem,2023-04-10,REST BARCAXEIRA,113.3,2025-03-06
Viagem,2023-04-10,MERCADINHO GAUCHO,10.36,2025-03-06
Viagem,2023-04-09,CORNERSHOP,19.9,2025-03-06
Viagem,2023-04-09,UBER   *UBER   *TRIP,24.94,2025-03-06
Viagem,2023-04-09,CACHAKARIA DESTAK,30.0,2025-03-06
Viagem,2023-04-09,JESSICA ARTIGOS ARTESAN,14.0,2025-03-06
Viagem,2023-04-09,MERCPAGO*DRINKSBAR,25.0,2025-03-06
Viagem,2023-04-09,REST BARCAXEIRA,155.0,2025-03-06
Viagem,2023-04-09,MANOEL MESSIAS DA SILV,15.0,2025-03-06
Viagem,2023-04-09,PAG*LUCIANAMARIADA,15.0,2025-03-06
Viagem,2023-04-09,BALAIO DE GATO I,22.2,2025-03-06
Viagem,2023-04-08,JESSICA ARTIGOS ARTESAN,53.0,2025-03-06
Viagem,2023-04-08,LAS PALMEIRAS,79.4,2025-03-06
Viagem,2023-04-08,CASA DE SORVETE INDUST,36.0,2025-03-06
Viagem,2023-04-07,PAG*LUCIANAMARIADA,15.0,2025-03-06
Viagem,2023-04-07,CASA FELIZ PORTO DE GA,8.0,2025-03-06
Viagem,2023-04-07,CASA DE SORVETE INDUST,36.0,2025-03-06
Viagem,2023-04-07,CASA DO ARTESANATO,110.0,2025-03-06
Viagem,2023-04-07,BRILHO DAS ARTES,45.0,2025-03-06
Pet,2023-04-07,EMPORIO ARTESANATOS,6.0,2025-03-06
Viagem,2023-04-07,BRILHO DAS ARTES,15.0,2025-03-06
Viagem,2023-04-07,O PESCADOR,15.0,2025-03-06
Viagem,2023-04-07,CACHAKARIA DESTAK,20.0,2025-03-06
Viagem,2023-04-06,GLU GELADOS,28.0,2025-03-06
Viagem,2023-04-06,UBER   *UBER   *TRIP,95.37,2025-03-06
Viagem,2023-04-06,MERCPAGO*DRINKSBAR,15.0,2025-03-06
Viagem,2023-04-06,PAG*MARCOSEDUARDOALME,46.0,2025-03-06
Planos,,LEROY MERLIN,211.18,2025-03-06
Viagem,2023-04-06,ESPACO DO NORDESTE,8.0,2025-03-06
Outros,2023-03-06,PBKIDS BRINQUEDOS LTDA,49.99,2025-03-06
Viagem,2023-04-05,PARC=103MERCADOLIVRE*MERC,-99.98,2025-03-06
Produtos Saúde,2023-04-05,DROGARIA SAO PAULO 671,70.05,2025-03-06
Vestimenta,2023-03-05,PARC=104RENNER,37.01,2025-03-06
Assinatura,2023-04-04,EC*KASPERSKYBRAZILNEXW,13.35,2025-03-06
Viagem,2023-04-04,MERCADOLIVRE*MERCADOLI,31.95,2025-03-06
Restaurante,2023-04-04,FRANCISCO MEKARU,40.0,2025-03-06
Pet,2023-04-04,PAG*LUIZCARLOSDOS,6.0,2025-03-06
Viagem,2023-03-04,AZUL WE*SHYV7MRODRIGU,238.86,2025-03-06
Vestimenta,2023-02-04,LOJAS RENNER FL 52,83.2,2025-03-06
Ferramentas,2023-04-03,AMAZON.COM.BR,41.99,2025-03-06
Viagem,2023-04-03,PARC=103MERCADOLIVRE*MERC,33.34,2025-03-06
Pet,2023-04-02,COBASI SAO CAETANO DO,124.7,2025-03-06
Vestimenta,2023-04-01,CEA SPS 250 ECPC,95.98,2025-03-06
Restaurante,2023-04-01,RESTAURANTE BOM TEMPERO,25.07,2025-03-06
Restaurante,2023-04-01,VIENA SHOPPING PLAZA S,31.8,2025-03-06
Alimentação,2023-04-01,PAG*MERCADOOBAOBA,17.07,2025-03-06
Viagem,2023-04-01,DAISO BRASIL,22.48,2025-03-06
Utilidade Casa,2023-09-11,Elaza Comercial Va08/10,290.0,2025-03-06
Viagem,2023-03-30,Credito Prog De Pontos,-45.0,2025-03-06
Celular,2023-04-13,Vivo Easy,29.99,2025-03-06
Utilidade Casa,2023-10-22,Brastemp E Rede   07/10,208.9,2025-03-06
Eletrônico,2023-11-26,Kabum             05/10,299.9,2025-03-06
Eletrônico,2023-12-14,Mercadolivre*merca05/10,98.9,2025-03-06
Alimentação,2023-03-27,Market4u*compra*127232,15.21,2025-03-06
Alimentação,2023-03-29,Market4u*compra*127519,20.96,2025-03-06
Alimentação,2023-03-29,Market4u*compra*127611,20.95,2025-03-06
Alimentação,2023-04-01,Market4u*compra*128331,7.49,2025-03-06
Estacionamento,2023-04-01,Conectcar   *conectcar,50.0,2025-03-06
Alimentação,2023-04-04,Market4u*compra*128931,4.36,2025-03-06
Alimentação,2023-04-05,Market4u*compra*129013,11.98,2025-03-06
Assinatura,2023-04-12,Amazonprimebr,14.9,2025-03-06
Assinatura,2023-04-13,Google Storage,34.99,2025-03-06
Alimentação,2023-04-14,Market4u*compra*130739,7.94,2025-03-06
Alimentação,2023-04-19,Market4u*compra*131348,9.66,2025-03-06
Assinatura,2023-04-19,Google Youtubepremium,20.9,2025-03-06
Vestimenta,2023-04-01,CEA SPS 250 ECPC,95.97,2025-03-06
Pet,2023-05-01,COBASI SAO CAETANO DO,124.7,2025-03-06
Eletrônico,2023-05-02,SHOPEE*956356288796885,16.5,2025-03-06
Restaurante,2023-05-02,AMAZON BR,13.98,2025-03-06
Viagem,2023-04-03,PARC=103MERCADOLIVRE*MERC,33.32,2025-03-06
Restaurante,2023-05-03,MARKET4U*COMPRA*134478,3.97,2025-03-06
Eletrônico,2023-05-03,EC*ALIPAYBRASIL,141.58,2025-03-06
Utilidade Casa,2023-05-03,MERCADOLIVRE*JLSELETRO,37.98,2025-03-06
Eletrônico,2023-05-03,EC*ALIPAYBRASIL,-141.58,2025-03-06
Viagem,2023-03-04,AZUL WE*SHYV7MRODRIGU,238.86,2025-03-06
Viagem,2023-04-04,MERCADOLIVRE*MERCADOLI,31.93,2025-03-06
Assinatura,2023-04-04,EC*KASPERSKYBRAZILNEXW,13.31,2025-03-06
Alimentação,2023-05-04,PAG*MERCADOOBAOBA,4.98,2025-03-06
Eletrônico,2023-05-04,MERCADOLIVRE*MERCADOLI,28.89,2025-03-06
Eletrônico,2023-05-04,MERCADOLIVRE*MERCADOLI,11.99,2025-03-06
Alimentação,2023-05-04,PAG*MERCADOOBAOBA,35.49,2025-03-06
Vestimenta,2023-03-05,PARC=104RENNER,37.01,2025-03-06
Outros,2023-03-06,PBKIDS BRINQUEDOS LTDA,49.99,2025-03-06
Restaurante,2023-05-06,MARKET4U*COMPRA*135246,3.49,2025-03-06
Outros,2023-05-06,VEM CONVENIENCIA,11.87,2025-03-06
Utilidade Casa,2023-05-07,LEROY MERLIN,49.96,2025-03-06
Restaurante,2023-05-07,MARKET4U*COMPRA*135684,23.96,2025-03-06
Outros,2023-05-07,HP FOODS 2 COMERCIO VAR,5.0,2025-03-06
Utilidade Casa,2023-05-08,AMAZON MARKETPLACE,15.57,2025-03-06
Restaurante,2023-05-09,PAG*FRANCISCOMEKARU,40.0,2025-03-06
Pet,2023-05-09,PAG*LUIZCARLOSDOS,6.0,2025-03-06
Outros,2023-05-09,SHOPEE*159630566386799,22.35,2025-03-06
Viagem,2023-05-09,CORNERSHOP,19.9,2025-03-06
Estacionamento,2023-05-10,PAG*PARK88,24.0,2025-03-06
Alimentação,2023-05-10,CORNERSHOP,182.74,2025-03-06
Alimentação,2023-05-10,CORNERSHOP,78.5,2025-03-06
Utilidade Casa,2023-03-11,ZELO PLAZA SUL,28.31,2025-03-06
Pet,2023-04-11,COBASI SAO CAETANO DO,91.62,2025-03-06
Eletrônico,2023-05-11,ALIEXPRESS,37.14,2025-03-06
Restaurante,2023-05-11,EVINO*BR2023812948539,52.07,2025-03-06
Produtos Saúde,2023-02-12,NATUS OTICA II,159.83,2025-03-06
Eletrônico,2023-03-12,AMAZON BR,114.99,2025-03-06
Planos,2023-03-12,AZUL WE*WDVIQLBRITO,316.14,2025-03-06
Planos,2023-03-12,AZUL WE*HCU6VLBRITO,311.8,2025-03-06
Restaurante,2023-05-12,IFOOD  *IFD*SCALA PIZ,67.99,2025-03-06
Utilidade Casa,2023-05-13,DAISO BRASIL,6.49,2025-03-06
Estacionamento,2023-05-13,SP MEGA SH PLAZA,22.9,2025-03-06
Restaurante,2023-05-13,STARBUCKS,17.0,2025-03-06
Utilidade Casa,2023-05-13,DAISO BRASIL,22.98,2025-03-06
Combustível,2023-05-13,CENTRO A A M LTDA,114.44,2025-03-06
Restaurante,2023-05-13,SPOLETO,23.9,2025-03-06
Alimentação,2023-05-13,HIROTA FOOD VIGARIO AL,184.99,2025-03-06
Produtos Saúde,2023-05-13,DROGARIA SAO PAULO 002,104.99,2025-03-06
Utilidade Casa,2023-03-14,MERCADOLIVRE*ABCSUPORT,33.72,2025-03-06
Vestimenta,2023-04-14,PARC=102DL*SHEINBR,33.15,2025-03-06
Alimentação,2023-05-14,PAG*MERCADOOBAOBA,12.99,2025-03-06
Alimentação,2023-05-15,CORNERSHOP,11.69,2025-03-06
Alimentação,2023-05-15,CORNERSHOP,142.03,2025-03-06
Alimentação,2023-05-15,COPA RIO ACOUGUE,134.42,2025-03-06
Utilidade Casa,2023-05-15,ZELO,32.85,2025-03-06
Produtos Saúde,2023-04-16,DROGARIA SAO PAULO 002,84.1,2025-03-06
Restaurante,2023-05-16,MARKET4U*COMPRA*137475,4.36,2025-03-06
Utilidade Casa,2023-05-16,AMAZON.COM.BR,19.43,2025-03-06
Outros,2023-05-17,CULTS3D.COM,0.2,2025-03-06
Outros,2023-05-17,CULTS3D.COM,3.76,2025-03-06
Alimentação,2023-05-17,PAG*MERCADOOBAOBA,13.98,2025-03-06
Restaurante,2023-05-18,MARKET4U*COMPRA*137850,4.36,2025-03-06
Alimentação,2023-05-18,CORNERSHOP,212.94,2025-03-06
Alimentação,2023-05-18,CORNERSHOP,53.61,2025-03-06
Internet,2023-05-18,CONTA VIVO,259.64,2025-03-06
Assinatura,2023-05-19,DL*GOOGLE YOUTUB,20.9,2025-03-06
Estacionamento,2023-05-20,J.A.E. PARK ESTAC,25.0,2025-03-06
Alimentação,2023-05-20,CSC ALIMENTOS EIR,169.85,2025-03-06
Internet,2023-04-21,CONTA VIVO,259.64,2025-03-06
Pet,2023-04-21,MERCADOLIVRE*MILADECOR,36.54,2025-03-06
Restaurante,2023-05-21,PAO DE ACUCAR 1717 RIC,13.79,2025-03-06
Restaurante,,,40.0,2025-03-06
Alimentação,2023-05-21,PAO DE ACUCAR 1717 RIC,167.89,2025-03-06
Alimentação,2023-05-22,MARKET4U*COMPRA*138721,9.78,2025-03-06
Restaurante,2023-05-22,MARKET4U*COMPRA*138660,20.95,2025-03-06
Produtos Saúde,2023-03-23,DRA CLAUDIA PRECIOSO,341.6,2025-03-06
Vestimenta,2023-04-23,CHICO REI*CHICO R,49.36,2025-03-06
Alimentação,2023-05-23,PAG*MERCADOOBAOBA,14.99,2025-03-06
Alimentação,2023-05-23,MARKET4U*COMPRA*138926,9.24,2025-03-06
Alimentação,2023-05-23,MARKET4U*COMPRA*138847,7.49,2025-03-06
Livros,2023-05-23,AMAZON BR,53.0,2025-03-06
Restaurante,2023-05-24,ABRAAO DE MORAES,48.6,2025-03-06
Estacionamento,2023-05-24,INPARK,10.0,2025-03-06
Alimentação,2023-05-24,CORNERSHOP,5.83,2025-03-06
Alimentação,2023-05-24,CORNERSHOP,103.64,2025-03-06
Produtos Saúde,2023-03-25,DROGARIA SAO PAULO 002,60.01,2025-03-06
Alimentação,2023-04-26,MARKET4U*COMPRA*133294,4.88,2025-03-06
Alimentação,2023-04-26,MARKET4U*COMPRA*132754,15.21,2025-03-06
Eletrônico,2023-04-26,AMAZON BR,55.58,2025-03-06
Utilidade Casa,2023-04-26,AMAZON BR,40.74,2025-03-06
Eletrônico,2023-04-26,AMAZON BR,-55.58,2025-03-06
Alimentação,2023-04-27,PAG*MERCADOOBAOBA,20.97,2025-03-06
Opcionais,2023-04-29,SHOPEE*CHIRLI BERG,25.53,2025-03-06
Opcionais,2023-04-29,SHOPEE*CHIRLI BERG,-25.53,2025-03-06
Seguro,2023-01-30,AZUL SEGURO AUTO,232.04,2025-03-06
Opcionais,2023-04-30,CRESCO COMERCIO D,47.99,2025-03-06
Restaurante,2023-04-30,SHOPPING MOOCA,17.8,2025-03-06
Restaurante,2023-04-30,NEIDE PERES JULIANO ME,23.9,2025-03-06
Opcionais,2023-04-30,CGK COMERCIAL LTDA,12.97,2025-03-06
Pet,2023-01-31,PARC=104MERCADOPAGO*MERCA,33.28,2025-03-06
Assinatura,2023-05-16,Credito Anuidade Difere,-36.0,2025-03-06
Assinatura,2023-05-16,Anuidade Diferenci01/12,72.0,2025-03-06
Assinatura,2023-05-22,Estorno Anuidade Difere,-72.0,2025-03-06
Utilidade Casa,2023-10-22,Brastemp E Rede   08/10,208.9,2025-03-06
Eletrônico,2023-11-26,Kabum             06/10,299.9,2025-03-06
Eletrônico,2023-12-14,Mercadolivre*merca06/10,98.9,2025-03-06
Assinatura,2023-05-12,Amazonprimebr,14.9,2025-03-06
Estacionamento,2023-05-13,Conectcar   *conectcar,50.0,2025-03-06
Utilidade Casa,2023-09-11,Elaza Comercial Va09/10,290.0,2025-03-06
Celular,2023-05-15,Vivo Easy,29.99,2025-03-06
Vestimenta,2023-06-01,CEA SPS 250 ECPC,95.97,2025-03-06
Alimentação,2023-06-01,MARKET4U*COMPRA*140862,30.71,2025-03-06
Utilidade Casa,2023-06-01,SHOPEE*118568730839404,33.5,2025-03-06
Eletrônico,2023-06-01,SHOPEE,17.67,2025-03-06
Restaurante,2023-06-01,AMAZON BR,13.96,2025-03-06
Eletrônico,2023-06-01,SHOPEE*956356288796885,16.5,2025-03-06
Alimentação,2023-06-02,MARKET4U*COMPRA*140981,12.0,2025-03-06
Necessários,2023-06-02,SHOPEE,21.78,2025-03-06
Viagem,2023-06-01,PARC=103MERCADOLIVRE*MERC,33.32,2025-03-06
Utilidade Casa,2023-06-01,MERCADOLIVRE*JLSELETRO,37.97,2025-03-06
Viagem,2023-03-04,AZUL WE*SHYV7MRODRIGU,238.86,2025-03-06
Viagem,2023-06-01,MERCADOLIVRE*MERCADOLI,31.93,2025-03-06
Assinatura,2023-06-01,EC*KASPERSKYBRAZILNEXW,13.31,2025-03-06
Vestimenta,2023-03-05,PARC=104RENNER,37.01,2025-03-06
Alimentação,2023-06-05,PAG*MERCADOOBAOBA,12.99,2025-03-06
Outros,2023-03-06,PBKIDS BRINQUEDOS LTDA,49.99,2025-03-06
Alimentação,2023-06-07,MARKET4U*COMPRA*142145,12.0,2025-03-06
Utilidade Casa,2023-06-01,AMAZON MARKETPLACE,15.57,2025-03-06
Higiene Pessoal,2023-06-08,AMAZON.COM.BR,54.9,2025-03-06
Outros,2023-06-01,SHOPEE*159630566386799,22.33,2025-03-06
Alimentação,2023-06-09,CORNERSHOP,19.9,2025-03-06
Pet,2023-06-09,AMOR DE BICHO,59.9,2025-03-06
Produtos Saúde,2023-06-10,DROGARIA SAO PAULO 441,68.31,2025-03-06
Restaurante,2023-06-10,STAR 207 SHOPPING PATI,19.0,2025-03-06
Utilidade Casa,2023-06-10,LAN SHOPPING,30.0,2025-03-06
Utilidade Casa,2023-03-11,ZELO PLAZA SUL,28.31,2025-03-06
Pet,2023-06-01,COBASI SAO CAETANO DO,91.62,2025-03-06
Eletrônico,2023-06-01,ALIEXPRESS,37.13,2025-03-06
Restaurante,2023-06-01,EVINO*BR2023812948539,52.06,2025-03-06
Alimentação,2023-06-11,MARKET4U*COMPRA*142951,5.49,2025-03-06
Restaurante,2023-06-11,IFD*VIENA EXPRESS - SHOPP,25.8,2025-03-06
Produtos Saúde,2023-06-01,NATUS OTICA II,159.83,2025-03-06
Eletrônico,2023-03-12,AMAZON BR,114.99,2025-03-06
Planos,2023-03-12,AZUL WE*WDVIQLBRITO,316.14,2025-03-06
Planos,2023-03-12,AZUL WE*HCU6VLBRITO,311.8,2025-03-06
Alimentação,2023-06-12,CORNERSHOP,351.98,2025-03-06
Assinatura,2023-06-12,AMAZONPRIMEBR,14.9,2025-03-06
Alimentação,2023-06-13,CORNERSHOP,163.83,2025-03-06
Alimentação,2023-06-13,CORNERSHOP,36.36,2025-03-06
Vestimenta,2023-06-13,DL          *SHEINBR,23.34,2025-03-06
Utilidade Casa,2023-03-14,MERCADOLIVRE*ABCSUPORT,33.72,2025-03-06
Utilidade Casa,2023-06-01,ZELO,32.83,2025-03-06
Celular,2023-06-15,VIVO EASY,33.0,2025-03-06
Produtos Saúde,2023-06-15,DROGARIA ONLINE,42.93,2025-03-06
Internet,2023-06-16,CONTA VIVO,269.6,2025-03-06
Utilidade Casa,2023-06-17,MR PRETZELS,30.0,2025-03-06
Restaurante,2023-06-17,STARBUCKS,27.0,2025-03-06
Alimentação,2023-06-17,SP MOOCA E,50.89,2025-03-06
Restaurante,2023-06-17,KALUNGA SHOPPING,12.2,2025-03-06
Alimentação,2023-06-18,MARKET4U*COMPRA*144436,16.39,2025-03-06
Assinatura,2023-06-19,DL*GOOGLE YOUTUB,20.9,2025-03-06
Utilidade Casa,2023-06-19,SHOPEE*ELETRON SERVICE,27.84,2025-03-06
Vestimenta,2023-06-19,UA BRASIL,43.71,2025-03-06
Alimentação,2023-06-20,CORNERSHOP,60.67,2025-03-06
Alimentação,2023-06-20,CORNERSHOP,136.3,2025-03-06
Restaurante,2023-06-20,FRANCISCO MEKARU,40.0,2025-03-06
Alimentação,2023-06-20,PAG*LUIZCARLOSDOS,12.0,2025-03-06
Pet,2023-06-01,MERCADOLIVRE*MILADECOR,36.54,2025-03-06
Produtos Saúde,2023-03-23,DRA CLAUDIA PRECIOSO,341.6,2025-03-06
Vestimenta,2023-06-01,CHICO REI*CHICO R,49.36,2025-03-06
Livros,2023-06-01,AMAZON BR,52.99,2025-03-06
Alimentação,2023-06-23,MARKET4U*COMPRA*145576,4.88,2025-03-06
Restaurante,2023-06-23,IFOOD  *IFD*CASA DA S,46.65,2025-03-06
Alimentação,2023-06-24,PAO DE ACUCAR 1717 RIC,164.2,2025-03-06
Utilidade Casa,2023-06-24,DAISO BRASIL,15.97,2025-03-06
Restaurante,2023-06-24,ABRAAO DE MORAES,37.8,2025-03-06
Necessários,2023-06-01,AMAZON-MARKETPLACE,19.99,2025-03-06
Alimentação,2023-06-25,MARKET4U*COMPRA*146033,4.88,2025-03-06
Alimentação,2023-06-25,COPA RIO ACOUGUE,79.94,2025-03-06
Utilidade Casa,2023-06-01,AMAZON BR,40.72,2025-03-06
Restaurante,2023-05-26,KOTAY 2 DELIVERY,197.78,2025-03-06
Alimentação,2023-05-26,MARKET4U*COMPRA*139579,4.88,2025-03-06
Restaurante,2023-05-27,STARBUCKS,28.0,2025-03-06
Restaurante,2023-05-27,SP MEGA SH PLAZA,20.0,2025-03-06
Alimentação,2023-05-27,MARKET4U*COMPRA*139809,5.49,2025-03-06
Utilidade Casa,2023-05-27,DAISO BRASIL,22.97,2025-03-06
Produtos Saúde,2023-05-28,DROGARIA SAO PAULO 002,70.44,2025-03-06
Manutenção,2023-05-28,SHOPEE*PERSONALIZE REVEST,39.56,2025-03-06
Utilidade Casa,2023-05-28,DAISO BRASIL,19.98,2025-03-06
Alimentação,2023-05-28,PAG*MERCADOOBAOBA,5.79,2025-03-06
Alimentação,2023-05-28,HIROTA FOOD VIGARIO AL,159.22,2025-03-06
Utilidade Casa,2023-05-28,AMAZON.COM.BR,18.71,2025-03-06
Curso ,2023-05-29,A MEDIUM CORPORATION,14.15,2025-03-06
Necessários,2023-05-29,SHOPEE*140791990030303,26.83,2025-03-06
Curso ,2023-05-29,A MEDIUM CORPORATION,263.06,2025-03-06
Seguro,2023-01-30,AZUL SEGURO AUTO,232.04,2025-03-06
Restaurante,2023-05-30,PAG*FRANCISCOMEKARU,40.0,2025-03-06
Assinatura,2023-05-30,AMAZON PRIME CANAIS,21.9,2025-03-06
Alimentação,2023-05-30,MARKET4U*COMPRA*140489,12.0,2025-03-06
Alimentação,2023-05-30,COPA RIO ACOUGUE,127.91,2025-03-06
Alimentação,2023-05-30,PAG*GLEISERLOMASDOS,16.0,2025-03-06
Alimentação,2023-05-30,PAG*LUIZCARLOSDOS,12.0,2025-03-06
Alimentação,2023-05-31,MARKET4U*COMPRA*140637,4.88,2025-03-06
Utilidade Casa,2023-10-22,Brastemp E Rede   09/10,208.9,2025-03-06
Eletrônico,2023-11-26,Kabum             07/10,299.9,2025-03-06
Eletrônico,2023-12-14,Mercadolivre*merca07/10,98.9,2025-03-06
Utilidade Casa,2023-11-09,Elaza Comercial Va10/10,290.0,2025-03-06
Estacionamento,2023-06-01,Conectar,24.22,2025-03-06
Eletrônico,2023-06-01,SHOPEE,17.66,2025-03-06
Alimentação,2023-07-01,MARKET4U*COMPRA*147312,4.88,2025-03-06
Utilidade Casa,2023-07-01,SHOPEE*182248526691164,-11.05,2025-03-06
Necessários,2023-07-01,VIVARA PLA,60.0,2025-03-06
Utilidade Casa,2023-07-01,SHOPEE*182248526691164,11.05,2025-03-06
Restaurante,2023-07-01,AMAZON BR,13.96,2025-03-06
Necessários,2023-06-02,SHOPEE,21.78,2025-03-06
Eletrônico,2023-07-02,SHOPEE*MCDCSHOP,29.9,2025-03-06
Curso ,2023-07-02,AMAZON WEB SERVICES,1.53,2025-03-06
Curso ,2023-07-02,AMAZON WEB SERVICES,0.08,2025-03-06
Utilidade Casa,2023-07-01,MERCADOLIVRE*JLSELETRO,37.97,2025-03-06
Alimentação,2023-07-03,CORNERSHOP,192.62,2025-03-06
Alimentação,2023-07-03,MARKET4U*COMPRA*147703,9.89,2025-03-06
Alimentação,2023-07-03,CORNERSHOP,2.31,2025-03-06
Viagem,2023-03-04,AZUL WE*SHYV7MRODRIGU,238.86,2025-03-06
Assinatura,2023-07-01,EC*KASPERSKYBRAZILNEXW,13.31,2025-03-06
Viagem,2023-07-01,MERCADOLIVRE*MERCADOLI,31.93,2025-03-06
Opcionais,2023-07-04,VALDILENE BENTO D,10.0,2025-03-06
Alimentação,2023-07-04,PAG*FRANCISCOMEKARU,40.0,2025-03-06
Alimentação,2023-07-05,PAG*MERCADOOBAOBA,18.98,2025-03-06
Alimentação,2023-07-06,MARKET4U*COMPRA*148294,4.37,2025-03-06
Restaurante,2023-07-07,MARKET4U*COMPRA*148555,11.2,2025-03-06
Utilidade Casa,2023-07-01,AMAZON MARKETPLACE,15.57,2025-03-06
Alimentação,2023-07-08,PAG*MERCADOOBAOBA,9.13,2025-03-06
Produtos Saúde,2023-07-08,DROGARIA SAO PAULO 002,64.88,2025-03-06
Utilidade Casa,2023-07-08,MERCADOLIVRE*R3SEGURANCA,60.07,2025-03-06
Pet,2023-07-08,PAG*RICARDOJAFET,71.98,2025-03-06
Utilidade Casa,2023-07-08,DAISO BRASIL,47.95,2025-03-06
Outros,2023-07-01,SHOPEE*159630566386799,22.33,2025-03-06
Restaurante,2023-07-09,IFD*VIENA EXPRESS - SHOPP,-19.9,2025-03-06
Restaurante,2023-07-09,IFD*VIENA EXPRESS - SHOPP,39.8,2025-03-06
Alimentação,2023-07-09,CORNERSHOP,19.9,2025-03-06
Estacionamento,2023-07-10,ESTAPAR*ZAD*SAO*PAULO,6.08,2025-03-06
Alimentação,2023-07-10,COPA RIO ACOUGUE,122.93,2025-03-06
Utilidade Casa,2023-03-11,ZELO PLAZA SUL,28.31,2025-03-06
Alimentação,2023-07-11,MARKET4U*COMPRA*149328,19.89,2025-03-06
Produtos Saúde,2023-07-01,NATUS OTICA II,159.83,2025-03-06
Planos,2023-03-12,AZUL WE*WDVIQLBRITO,316.14,2025-03-06
Planos,2023-03-12,AZUL WE*HCU6VLBRITO,311.8,2025-03-06
Eletrônico,2023-03-12,AMAZON BR,114.99,2025-03-06
Produtos Saúde,2023-07-12,DROGARIA SAO PAULO 002,93.9,2025-03-06
Assinatura,2023-07-12,AMAZONPRIMEBR,14.9,2025-03-06
Estacionamento,2023-07-12,ESTAPAR*ZAD*SAO*PAULO,12.16,2025-03-06
Vestimenta,2023-06-13,DL          *SHEINBR,23.32,2025-03-06
Alimentação,2023-07-13,MARKET4U*COMPRA*149836,6.49,2025-03-06
Alimentação,2023-07-14,PAG*MERCADOOBAOBA,28.06,2025-03-06
Alimentação,2023-07-14,MARKET4U*COMPRA*150196,25.27,2025-03-06
Utilidade Casa,2023-07-01,ZELO,32.83,2025-03-06
Produtos Saúde,2023-06-15,DROGARIA ONLINE,42.93,2025-03-06
Celular,2023-07-15,VIVO EASY,33.0,2025-03-06
Curso ,2023-07-17,WL *NCS*TESTING EXAM,27.09,2025-03-06
Curso ,2023-07-17,WL *NCS*TESTING EXAM,503.49,2025-03-06
Utilidade Casa,2023-07-18,SHOPEE*UTILIDADES CHINA,11.49,2025-03-06
Pet,2023-07-18,PAG*LUIZCARLOSDOS,6.0,2025-03-06
Alimentação,2023-07-18,PAG*FRANCISCOMEKARU,40.0,2025-03-06
Eletrônico,2023-07-18,ALIEXPRESS,32.03,2025-03-06
Vestimenta,2023-06-19,UA BRASIL,43.69,2025-03-06
Utilidade Casa,2023-06-19,SHOPEE*ELETRON SERVICE,27.83,2025-03-06
